t,psi_truth,psi_recovered
972.0,2.2717114070175312e-5,0.004741481656020112
984.0,2.3599099512252444e-5,0.004767042801234002
996.0,2.4513526910098778e-5,0.0047926280403724555
1008.0,2.546151638861385e-5,0.004818237567958107
1020.0,2.6444223893667274e-5,0.0048438715800884075
1032.0,2.7462842231156588e-5,0.004869530274446671
1044.0,2.851860213240975e-5,0.004895213850314217
1056.0,2.9612773346468932e-5,0.004920922508581567
1068.0,3.0746665759800906e-5,0.00494665645175954
1080.0,3.1921630543986336e-5,0.004972415883992137
1092.0,3.3139061331943616e-5,0.004998201011066718
1104.0,3.44003954232545e-5,0.005024012040426996
1116.0,3.5707115019160106e-5,0.005049849181183452
1128.0,3.706074848780433e-5,0.005075712644126602
1140.0,3.84628716603098e-5,0.005101602641737826
1152.0,3.9915109158272055e-5,0.005127519388200927
1164.0,4.141913575327065e-5,0.00515346309941498
1176.0,4.297667775899489e-5,0.005179433993005279
1188.0,4.458951445659166e-5,0.005205432288335539
1200.0,4.625947955384857e-5,0.005231458206520462
1212.0,4.798846267882651e-5,0.005257511970437008
1224.0,4.977841090856712e-5,0.005283593804736093
1236.0,5.163133033349955e-5,0.00530970393585567
1248.0,5.3549287658180965e-5,0.005335842592032208
1260.0,5.55344118390059e-5,0.005362010003312573
1272.0,5.758889575952461e-5,0.0053882064015657455
1284.0,5.971499794401862e-5,0.005414432020496608
1296.0,6.191504430997812e-5,0.005440687095656198
1308.0,6.419142996013832e-5,0.005466971864455175
1320.0,6.65466210147268e-5,0.005493286566174989
1332.0,6.89831564845826e-5,0.00551963144198056
1344.0,7.150365018581167e-5,0.005546006734932961
1356.0,7.411079269663695e-5,0.005572412690000937
1368.0,7.680735335711771e-5,0.005598849554073533
1380.0,7.95961823124003e-5,0.005625317575971671
1392.0,8.248021260017391e-5,0.005651817006461599
1404.0,8.546246228300403e-5,0.005678348098266152
1416.0,8.854603662621239e-5,0.0057049111060775565
1428.0,9.173413032198133e-5,0.005731506286569925
1440.0,9.503002976035099e-5,0.005758133898410164
1452.0,9.8437115347788e-5,0.005784794202272708
1464.0,0.00010195886387399187,0.005811487460849411
1476.0,0.00010559885092761513,0.005838213938863621
1488.0,0.00010936075336156748,0.005864973903081251
1500.0,0.00011324835180856566,0.005891767622324164
1512.0,0.00011726553324760429,0.005918595367481391
1524.0,0.00012141629362200139,0.005945457411522574
1536.0,0.00012570474050968108,0.0059723540295092276
1548.0,0.00013013509584635323,0.005999285498608252
1560.0,0.0001347116987022312,0.006026252098102695
1572.0,0.0001394390081129436,0.00605325410940559
1584.0,0.00014432160596527293,0.006080291816070768
1596.0,0.00014936419993835795,0.006107365503806507
1608.0,0.0001545716265009909,0.006134475460487197
1620.0,0.00015994885396561847,0.006161621976164898
1632.0,0.00016550098559967507,0.0061888053430826095
1644.0,0.00017123326279483374,0.006216025855686279
1656.0,0.0001771510682947854,0.006243283810635797
1668.0,0.0001832599294821171,0.0062705795068193765
1680.0,0.00018956552172487055,0.0062979132453637315
1692.0,0.0001960736717833431,0.006325285329646449
1704.0,0.0002027903612776743,0.006352696065309596
1716.0,0.0002097217302167659,0.006380145760269455
1728.0,0.00021687408058904806,0.006407634724730729
1740.0,0.0002242538800156065,0.0064351632711966075
1752.0,0.0002318677654661679,0.0064627317144823615
1764.0,0.00023972254703841003,0.006490340371726681
1776.0,0.00024782521180107393,0.006517989562402168
1788.0,0.0002561829277013062,0.006545679608329587
1800.0,0.0002648030475366631,0.006573410833688245
1812.0,0.00027369311299218785,0.006601183565026855
1824.0,0.00028286085874293084,0.006628998131278006
1836.0,0.00029231421662229536,0.006656854863766694
1848.0,0.0003020613198565357,0.006684754096223315
1860.0,0.0003121105073657283,0.006712696164796028
1872.0,0.00032247032813152536,0.0067406814080608266
1884.0,0.00033314954563193425,0.006768710167032906
1896.0,0.0003441571423433943,0.006796782785179728
1908.0,0.00035550232431034035,0.006824899608429552
1920.0,0.0003671945257824667,0.006853060985185545
1932.0,0.00037924341391983154,0.006881267266335096
1944.0,0.0003916588935659322,0.006909518805261403
1956.0,0.00040445111208886977,0.006937815957853526
1968.0,0.00041763046429063247,0.006966159082519706
1980.0,0.00043120759738456686,0.006994548540195496
1992.0,0.00044519341604100544,0.007022984694356069
2004.0,0.0004595990875010224,0.007051467911026468
2016.0,0.0004744360467582546,0.007079998558792086
2028.0,0.0004897160018086452,0.007108577008809236
2040.0,0.0005054509389679895,0.007137203634815452
2052.0,0.0005216531282570671,0.00716587881313991
2064.0,0.0005383351288541294,0.007194602922713414
2076.0,0.0005555097946144845,0.007223376345078823
2088.0,0.000573190279656822,0.0072521994644005605
2100.0,0.0005913900440159564,0.007281072667474547
2112.0,0.0006101228593615251,0.007309996343738148
2124.0,0.0006294028147822367,0.007338970885280481
2136.0,0.0006492443226351085,0.007367996686850148
2148.0,0.0006696621244591643,0.007397074145865795
2160.0,0.0006906712969529844,0.007426203662426113
2172.0,0.0007122872580154143,0.007455385639316754
2184.0,0.0007345257728487563,0.007484620482021941
2196.0,0.0007574029601236359,0.0075139085987312795
2208.0,0.0007809352982047291,0.007543250400349609
2220.0,0.0008051396314364775,0.007572646300504422
2232.0,0.000830033176487811,0.007602096715556277
2244.0,0.0008556335287549164,0.007631602064605114
2256.0,0.000881958668820945,0.007661162769499623
2268.0,0.0009090269689715443,0.007690779254843967
2280.0,0.0009368571997650457,0.007720451948007467
2292.0,0.0009654685366559898,0.007750181279129985
2304.0,0.0009948805666707343,0.007779967681131782
2316.0,0.0010251132951336886,0.0078098115897185585
2328.0,0.0010561871524427439,0.00783971344339008
2340.0,0.0010881230008923826,0.007869673683446994
2352.0,0.0011209421415428061,0.007899692753996157
2364.0,0.0011546663211334741,0.007929771101959762
2376.0,0.0011893177390392322,0.007959909177079366
2388.0,0.0012249190542672804,0.007990107431923119
2400.0,0.0012614933924930012,0.008020366321891771
2412.0,0.0012990643531327146,0.008050686305224382
2424.0,0.0013376560164513112,0.00808106784300304
2436.0,0.001377292950702568,0.008111511399160116
2448.0,0.0014180002192999987,0.008142017440481875
2460.0,0.001459803388015883,0.008172586436613047
2472.0,0.0015027285322061071,0.008203218860063317
2484.0,0.0015468022440583765,0.00823391518620973
2496.0,0.0015920516398611833,0.008264675893303229
2508.0,0.0016385043672909724,0.008295501462470212
2520.0,0.0016861886127147027,0.008326392377717894
2532.0,0.0017351331085050188,0.008357349125936817
2544.0,0.0017853671403651784,0.008388372196905199
2556.0,0.0018369205546606363,0.008419462083290905
2568.0,0.0018898237657543218,0.00845061928065488
2580.0,0.001944107763342333,0.008481844287452779
2592.0,0.001999804119786856,0.008513137605038315
2604.0,0.0020569449974429123,0.00854449973766356
2616.0,0.0021155631559754686,0.00857593119248283
2628.0,0.002175691959663436,0.008607432479551265
2640.0,0.0022373653846867883,0.008639004111828275
2652.0,0.002300618026393238,0.00867064660517669
2664.0,0.002365485106540452,0.008702360478364396
2676.0,0.0024320024805100067,0.008734146253063207
2688.0,0.00250020664448905,0.008766004453850174
2700.0,0.00257013474261544,0.00879793560820527
