t,G1,G2,G3,G4
3228.0,0.0028389964128481635,4.377816192506149e-5,3.9607493651253576e-7,1.0919843167752714e-18
3240.0,0.0029133623678469327,4.534424588914222e-5,4.109987767689254e-7,1.6517348603788648e-18
3252.0,0.0029894621850254212,4.6962142786272615e-5,4.2584778852175677e-7,2.488866476568812e-18
3264.0,0.003067330625394153,4.8633648854282065e-5,4.4089599067136477e-7,3.736013274744352e-18
3276.0,0.003147002842360644,5.036064994480772e-5,4.5645864554985123e-7,5.586873634323935e-18
3288.0,0.0032285143674435682,5.214510940107855e-5,4.728785687439851e-7,8.32320985240496e-18
3300.0,0.0033119011186331345,5.398905415187982e-5,4.905096387752686e-7,1.2353277320133349e-17
3312.0,0.0033971994218043714,5.5894560060750154e-5,5.096983873578966e-7,1.8266298052563094e-17
3324.0,0.0034844460354744003,5.7863737599641655e-5,5.307648022670818e-7,2.6909362179444208e-17
3336.0,0.00357367817220486,5.989871890944973e-5,5.539836657495844e-7,3.949554938893715e-17
3348.0,0.003664933514669689,6.200164726213917e-5,5.795678564269322e-7,5.775532669795709e-17
3360.0,0.0037582502290175856,6.417466983867609e-5,6.076550404483227e-7,8.414768338884182e-17
3372.0,0.0038536669810061517,6.641993456807263e-5,6.382990538176819e-7,1.221533795054416e-16
3384.0,0.003951222960479259,6.873959152321677e-5,6.714670273451855e-7,1.7668059288836114e-16
3396.0,0.004050957917047822,7.113579903687302e-5,7.070429349350905e-7,2.5462377405486323e-16
3408.0,0.004152912205196913,7.361073430048136e-5,7.448377737595063e-7,3.65630458492907e-16
3420.0,0.004257126832011727,7.616660777182817e-5,7.846060425304882e-7,5.231491647405551e-16
3432.0,0.004363643497008892,7.880568029452994e-5,8.260676138526512e-7,7.458556234242611e-16
3444.0,0.004472504612564456,8.153028148191185e-5,8.689335490730464e-7,1.059586079053248e-15
3456.0,0.00458375329578201,8.434282769985564e-5,9.129339339221648e-7,1.4999473450518926e-15
3468.0,0.004697433328027205,8.724583794576469e-5,9.578454744530504e-7,2.1158262480669723e-15
3480.0,0.004813589085563485,9.024194608995557e-5,1.0035164325997657e-6,2.9740892650604894e-15
3492.0,0.004932265451976922,9.333390831755884e-5,1.0498865338954458e-6,4.1658504757781856e-15
3504.0,0.005053507728487859,9.652460514671683e-5,1.0969997635792794e-6,5.814797250153368e-15
3516.0,0.005177361560318436,9.981703803641459e-5,1.1450084767684845e-6,8.088204237721983e-15
3528.0,0.005303872895310486,0.00010321432124831313,1.1941679549202536e-6,1.1211444320227819e-14
3540.0,0.00543308798523834,0.00010671967019839542,1.2448213920810888e-6,1.5487028741244634e-14
3552.0,0.005565053431925583,0.00011033638794189793,1.297376217221102e-6,2.1319487770567948e-14
3564.0,0.005699816271176122,0.00011406785161833133,1.35227356488142e-6,2.924774996191038e-14
3576.0,0.005837424079686341,0.00011791750061652003,1.4099534998523265e-6,3.998710633030152e-14
3588.0,0.005977925085255207,0.0001218888279164174,1.4708191897109126e-6,5.4483371866642847e-14
3600.0,0.006121368259813603,0.0001259853755766979,1.5352035221348597e-6,7.398249939994905e-14
3612.0,0.006267803378205221,0.0001302107347454851,1.6033416259696404e-6,1.0011968114944037e-13
3624.0,0.006417281032498183,0.00013456854997156393,1.6753523524641298e-6,1.350329152439348e-13
3636.0,0.006569852600390019,0.00013906252707852792,1.7512310206609264e-6,1.8150714449862725e-13
3648.0,0.006725570175112645,0.0001436964435095343,1.8308546838149513e-6,2.4315642176881983e-13
3660.0,0.006884486471317848,0.0001484741598993452,1.913999925031112e-6,3.2465315134891225e-13
3672.0,0.007046654725337299,0.0001533996316885402,2.0003718638325796e-6,4.32015331913355e-13
3684.0,0.007212128608296841,0.0001584769198297657,2.0896417938430516e-6,5.729649170688383e-13
3696.0,0.0073809621669889015,0.00016371019998492317,2.181489821775276e-6,7.573729482198059e-13
3708.0,0.007553209801093065,0.00016910376999551213,2.2756481728162955e-6,9.9781003310666e-13
3720.0,0.007728926277725622,0.00017466205574537968,2.3719405703253052e-6,1.3102240706644376e-12
3732.0,0.007908166777016777,0.00018038961576069562,2.4703133462935297e-6,1.7147708817621923e-12
