t,psi
2952.0,0.004509888255482701
2964.0,0.004628538478378774
2976.0,0.004749961304789461
2988.0,0.004874211396607534
3000.0,0.005001344216424597
3012.0,0.005131416031966537
3024.0,0.005264483920345136
3036.0,0.00540060577211944
3048.0,0.005539840295159792
3060.0,0.00568224701830802
3072.0,0.005827886294826635
3084.0,0.005976819305630125
3096.0,0.006129108062291415
3108.0,0.006284815409816174
3120.0,0.006444005029178007
3132.0,0.006606741439607207
3144.0,0.006773090000625687
3156.0,0.006943116913821079
3168.0,0.007116889224352165
3180.0,0.007294474822178641
3192.0,0.007475942443007458
3204.0,0.007661361668948252
3216.0,0.007850802928870592
3228.0,0.00804433749845495
3240.0,0.008242037499930393
3252.0,0.008443975901490805
3264.0,0.008650226516382337
3276.0,0.008860864001654298
3288.0,0.009075963856565769
3300.0,0.00929560242064026
3312.0,0.00951985687136076
3324.0,0.00974880522149741
3336.0,0.009982526316060144
3348.0,0.010221099828868544
3360.0,0.010464606258731404
3372.0,0.01071312692522807
3384.0,0.010966743964084187
3396.0,0.011225540322134159
3408.0,0.011489599751862645
3420.0,0.011759006805517747
3432.0,0.012033846828788306
3444.0,0.012314205954037805
3456.0,0.012600171093087677
3468.0,0.01289182992954255
3480.0,0.013189270910650247
3492.0,0.013492583238689381
3504.0,0.01380185686187736
3516.0,0.01411718246479191
3528.0,0.01443865145829913
3540.0,0.01476635596898124
3552.0,0.015100388828057395
3564.0,0.015440843559790873
3576.0,0.015787814369376107
3588.0,0.016141396130299395
3600.0,0.016501684371166787
3612.0,0.016868775261993266
3624.0,0.01724276559994724
3636.0,0.01762375279454425
3648.0,0.018011834852284747
3660.0,0.018407110360730044
3672.0,0.01880967847201128
3684.0,0.019219638885766242
3696.0,0.019637091831499195
3708.0,0.020062138050358665
3720.0,0.02049487877632902
3732.0,0.020935415716831114
3744.0,0.021383851032728135
3756.0,0.021840287317732517
3768.0,0.022304827577210418
3780.0,0.02277757520638007
3792.0,0.023258633967900975
3804.0,0.02374810796885096
3816.0,0.024246101637088083
3828.0,0.024752719696995527
3840.0,0.025268067144606485
3852.0,0.02579224922210791
3864.0,0.026325371391720986
3876.0,0.026867539308957137
3888.0,0.02741885879524856
3900.0,0.027979435809952605
3912.0,0.028549376421729264
3924.0,0.02912878677929202
3936.0,0.029717773081532173
3948.0,0.03031644154701683
3960.0,0.030924898382862193
3972.0,0.03154324975298235
3984.0,0.03217160174571612
3996.0,0.03281006034083312
4008.0,0.03345873137592191
4020.0,0.034117720512162296
4032.0,0.034787133199485454
4044.0,0.03546707464112452
4056.0,0.036157649757560244
4068.0,0.036858963149865136
4080.0,0.03757111906245123
4092.0,0.03829422134522602
4104.0,0.039028373415162305
4116.0,0.039773678217287216
4128.0,0.040530238185097274
4140.0,0.041298155200405424
4152.0,0.04207753055262757
4164.0,0.042868464897515765
4176.0,0.04367105821534597
4188.0,0.044485409768568886
4200.0,0.04531161805893233
4212.0,0.04614978078408461
4224.0,0.04699999479366824
4236.0,0.04786235604491441
4248.0,0.04873695955774817
4260.0,0.049623899369416094
4272.0,0.05052326848864701
4284.0,0.05143515884935817
4296.0,0.05235966126391926
4308.0,0.053296865375986276
