t,psi_truth,psi_recovered
2760.0,0.0029469805380670415,-0.0037732394727219946
2772.0,0.0030280694423429066,-0.0035498182031691292
2784.0,0.0031111610229005954,-0.003322447505543792
2796.0,0.0031962978589004025,-0.0030909909460744493
2808.0,0.003283523239391953,-0.0028553126384021003
2820.0,0.0033728811698468795,-0.002615276891860908
2832.0,0.003464416378603354,-0.0023707478614893953
2844.0,0.0035581743232170524,-0.002121589249335577
2856.0,0.0036542011967133584,-0.0018676640926057976
2868.0,0.0037525439337351544,-0.0016088346562376519
2880.0,0.003853250216580698,-0.0013449624293263305
2892.0,0.003956368481126027,-0.0010759082101184972
2904.0,0.004061947922625903,-0.0008015322557057338
2916.0,0.004170038501387709,-0.0005216944713055239
2928.0,0.004280690948312149,-0.00023625461957367563
2940.0,0.004393956770294844,5.492745940860037e-5
2952.0,0.004509888255482701,0.0003519916152797316
2964.0,0.004628538478378774,0.000655077130268173
2976.0,0.004749961304789461,0.0009643224227357696
2988.0,0.004874211396607534,0.001279864700264308
3000.0,0.005001344216424597,0.0016018395628802967
3012.0,0.005131416031966537,0.0019303805748381918
3024.0,0.005264483920345136,0.0022656188439138386
3036.0,0.00540060577211944,0.002607682665933452
3048.0,0.005539840295159792,0.0029566973046282826
3060.0,0.00568224701830802,0.0033127849789981187
3072.0,0.005827886294826635,0.003676065119975309
3084.0,0.005976819305630125,0.0040466549353207065
3096.0,0.006129108062291415,0.004424670288752582
3108.0,0.006284815409816174,0.0048102268607859155
3120.0,0.006444005029178007,0.005203441520469899
3132.0,0.006606741439607207,0.005604433805317469
3144.0,0.006773090000625687,0.006013327386597544
3156.0,0.006943116913821079,0.006430251392399977
3168.0,0.007116889224352165,0.006855341472591601
3180.0,0.007294474822178641,0.007288740516344633
3192.0,0.007475942443007458,0.007730598970250501
3204.0,0.007661361668948252,0.00818107474729868
3216.0,0.007850802928870592,0.008640332757654728
3228.0,0.00804433749845495,0.009108544125141914
3240.0,0.008242037499930393,0.00958588517407229
3252.0,0.008443975901490805,0.010072536277393027
3264.0,0.008650226516382337,0.010568680649464264
3276.0,0.008860864001654298,0.011074503148131229
3288.0,0.009075963856565769,0.011590189125916497
3300.0,0.00929560242064026,0.012115923344830467
3312.0,0.00951985687136076,0.012651888948924406
3324.0,0.00974880522149741,0.013198266477401613
3336.0,0.009982526316060144,0.013755232900867154
3348.0,0.010221099828868544,0.014322960673653472
3360.0,0.010464606258731404,0.014901616813286268
3372.0,0.01071312692522807,0.015491362039453426
3384.0,0.010966743964084187,0.016092350023900623
3396.0,0.011225540322134159,0.016704726814346378
3408.0,0.011489599751862645,0.017328630495967712
3420.0,0.011759006805517747,0.01796419114154703
3432.0,0.012033846828788306,0.01861153107678859
3444.0,0.012314205954037805,0.01927076545384744
3456.0,0.012600171093087677,0.019942003088873582
