x,eta_pinn,eta_exact
0.5463659147869674,0.10800353363793784,0.007171856087070307
0.5513784461152882,0.1090930921076313,0.008795047329068467
0.556390977443609,0.11017490980991079,0.010731549295990675
0.5614035087719298,0.11124872132125889,0.013028796423406576
0.5664160401002506,0.11231426641114703,0.015738516763329078
0.5714285714285714,0.11337129000881722,0.018916506461137194
0.5764411027568922,0.11441954215790696,0.022622244639060315
0.581453634085213,0.11545877796007417,0.026918328294032585
0.5864661654135338,0.11648875750884286,0.03186970956609844
0.5914786967418546,0.11750924581492615,0.037542721807815566
0.5964912280701754,0.11852001272431598,0.044003886347535666
0.6015037593984962,0.11952083283043216,0.05131849868878432
0.606516290726817,0.12051148538162854,0.059549001047277235
0.6115288220551378,0.12149175418534285,0.06875315743432435
0.6165413533834586,0.1224614275101387,0.07898205769758054
0.6215538847117794,0.12342029798687254,0.09027798768277197
0.6265664160401002,0.12436816251014093,0.10267221355197735
0.631578947368421,0.12530482214114655,0.11618273877886041
0.6365914786967418,0.12623008201301805,0.13081210187531023
0.6416040100250626,0.12714375123957553,0.1465452908909516
0.6466165413533834,0.12804564282844658,0.16334785656815107
0.6516290726817042,0.1289355735993586,0.18116430916388307
0.656641604010025,0.1298133641083356,0.19991688386910525
0.6616541353383458,0.13067883857846868,0.21950475607647696
0.6666666666666666,0.1315318248378087,0.23980378022185175
0.6716791979949874,0.1323721542648554,0.2606668144816464
0.6766917293233082,0.13319966174202585,0.2819246783723255
0.681704260651629,0.1340141856173988,0.3033877716066302
0.6867167919799498,0.1348155676749215,0.324848360963888
0.6917293233082706,0.13560365311323208,0.3460835181807616
0.6967418546365914,0.13637829053309344,0.36685866689314217
0.7017543859649122,0.13713933193343017,0.3869316715274474
0.706766917293233,0.13788663271583895,0.40605737690728544
0.7117794486215538,0.13862005169738742,0.4239924853961576
0.7167919799498746,0.13933945113144627,0.44050063979026516
0.7218045112781954,0.14004469673626077,0.4553575659568288
0.7268170426065163,0.14073565773086527,0.4683561202646052
0.731829573934837,0.1414122068779572,0.4793110838309349
0.7368421052631579,0.14207422053323854,0.48806354889738307
0.7418546365914787,0.14272157870074947,0.49448475232201355
0.7468671679197995,0.14335416509364896,0.4984792269978534
0.7518796992481203,0.14397186719988134,0.49998716341410543
0.7568922305764411,0.14457457635215246,0.49898589971457485
0.7619047619047619,0.14516218780160542,0.49549048836871074
0.7669172932330827,0.14573460079458714,0.48955331965056764
0.7719298245614035,0.14629171865188578,0.48126281508933444
0.7769423558897243,0.1468334488498135,0.4707412364327288
0.7819548872180451,0.1473597031025072,0.4581416860046721
0.7869674185463659,0.14787039744484165,0.44364440130572974
0.7919799498746867,0.14836545231533158,0.42745246914612894
0.7969924812030075,0.1488447926384387,0.4097871016072125
0.8020050125313283,0.14930834790570507,0.3908826270757787
0.8070175438596491,0.1497560522551425,0.3709813541792916
0.8120300751879699,0.15018784454835363,0.3503284646822302
0.8170426065162907,0.15060366844485515,0.32916708360916114
0.8220551378446115,0.15100347247313461,0.3077336616430211
0.8270676691729323,0.15138721009796055,0.28625378704866866
0.8320802005012531,0.15175483978353735,0.26493852301241894
0.8370927318295739,0.15210632505208968,0.2439813425047783
0.8421052631578947,0.15244163453751822,0.22355570775101902
0.8471177944862155,0.15276074203379328,0.20381331630106897
0.8521303258145363,0.15306362653778158,0.18488301161674858
0.8571428571428571,0.15335027228624556,0.166870334001859
0.8621553884711779,0.15362066878678796,0.14985766837948733
0.8671679197994987,0.15387481084251797,0.13390492946419905
0.8721804511278195,0.15411269857030938,0.11905071266518523
0.8771929824561403,0.15433433741249933,0.10531383075834527
0.8822055137844611,0.1545397381419182,0.09269515194751621
0.8872180451127819,0.15472891686021323,0.08117965418531806
0.8922305764411027,0.15490189498939871,0.07073861317997082
0.8972431077694235,0.15505869925664276,0.061331846899116776
0.9022556390977443,0.15519936167231088,0.05290994704083448
0.9072681704260651,0.155323919501308,0.045416437282028085
0.9122807017543859,0.15543241522779835,0.03878980853701534
0.9172932330827067,0.15552489651341012,0.032965392393248895
0.9223057644110275,0.15560141614903109,0.02787704481766837
0.9273182957393483,0.15566203200035622,0.023458622698912555
0.9323308270676691,0.15570680694734806,0.01964524544410032
0.9373433583959899,0.15573580881778368,0.01637434241082641
0.9423558897243107,0.15574911031510721,0.013586494241943676
0.9473684210526315,0.15574678894078103,0.011226082084079353
0.9523809523809523,0.1557289269113913,0.009241763187663874
0.9573934837092731,0.1556956110707347,0.007586794547235504
0.9624060150375939,0.1556469327971347,0.006219228136443824
0.9674185463659147,0.1555829879062676,0.005102002048718386
0.9724310776942355,0.1555038765497543,0.004202951619927565
0.9774436090225563,0.15540970310980096,0.003494763540676069
0.9824561403508771,0.15530057609016407,0.002954894218711027
0.9874686716791979,0.15517660800373503,0.0025654713717453976
0.9924812030075187,0.1550379152570154,0.002313195147336013
0.9974937343358395,0.15488461803179118,0.002189252089320782
1.0025062656641603,0.1547168401642715,0.0021892520893207756
1.0075187969924813,0.15453470902199493,0.0023131951473360167
1.012531328320802,0.1543383553787788,0.0025654713717453872
1.0175438596491229,0.15412791328799424,0.0029548942187110376
1.0225563909774436,0.15390351995443444,0.0034947635406760527
1.0275689223057645,0.15366531560506452,0.004202951619927581
1.0325814536340852,0.15341344335889237,0.005102002048718363
1.037593984962406,0.15314804909624222,0.0062192281364438565
1.0426065162907268,0.15286928132765484,0.007586794547235464
1.0476190476190477,0.15257729106268256,0.00924176318766391
1.0526315789473684,0.15227223167878723,0.011226082084079308
1.0576441102756893,0.15195425879058005,0.013586494241943735
1.06265664160401,0.15162353011961283,0.016374342410826345
1.0676691729323309,0.15128020536491787,0.0196452454441004
1.0726817042606516,0.15092444607450745,0.02345862269891247
1.0776942355889725,0.15055641551799542,0.02787704481766848
1.0827067669172932,0.15017627856052918,0.03296539239324878
1.087719298245614,0.1497842015381898,0.038789808537015476
1.0927318295739348,0.14938035213500786,0.04541643728202795
1.0977443609022557,0.14896489926175102,0.05290994704083467
1.1027568922305764,0.14853801293658825,0.06133184689911658
1.1077694235588973,0.1480998641677812,0.07073861317997104
1.112781954887218,0.14765062483848915,0.0811796541853178
1.117794486215539,0.14719046759380847,0.09269515194751647
1.1228070175438596,0.14671956573010544,0.105313830758345
1.1278195488721805,0.14623809308676522,0.11905071266518555
1.1328320802005012,0.1457462239403843,0.1339049294641987
1.137844611528822,0.1452441329015082,0.1498576683794877
1.1428571428571428,0.14473199481393514,0.16687033400185863
1.1478696741854637,0.14420998465664558,0.18488301161674897
1.1528822055137844,0.1436782774483997,0.20381331630106855
1.1578947368421053,0.14313704815501244,0.2235557077510195
1.162907268170426,0.1425864715993487,0.24398134250477785
1.167919799498747,0.14202672237402914,0.2649385230124194
1.1729323308270676,0.14145797475688254,0.2862537870486682
1.1779448621553885,0.14088040262912035,0.30773366164302157
1.1829573934837092,0.14029417939623418,0.32916708360916064
1.1879699248120301,0.13969947791162485,0.3503284646822307
1.1929824561403508,0.13909647040291293,0.3709813541792912
1.1979949874686717,0.1384853284009454,0.39088262707577914
1.2030075187969924,0.13786622267144516,0.4097871016072121
1.2080200501253133,0.13723932314929685,0.42745246914612933
1.213032581453634,0.1366047988754158,0.4436444013057294
1.218045112781955,0.13596281793618117,0.4581416860046724
1.2230576441102756,0.1353135474053797,0.4707412364327285
1.2280701754385965,0.13465715328863398,0.48126281508933466
1.2330827067669172,0.13399380047025325,0.4895533196505675
1.2380952380952381,0.13332365266247098,0.49549048836871085
1.2431077694235588,0.13264687235702224,0.4989858997145748
1.2481203007518797,0.13196362077899773,0.49998716341410543
1.2531328320802004,0.13127405784294585,0.4984792269978535
1.2581453634085213,0.13057834211114458,0.49448475232201367
1.263157894736842,0.12987663075400654,0.4880635488973834
1.268170426065163,0.1291690795125632,0.4793110838309351
1.2731829573934836,0.12845584266296298,0.46835612026460577
1.2781954887218046,0.12773707298293765,0.45535756595682914
1.2832080200501252,0.1270129217201865,0.4405006397902658
1.2882205513784462,0.12628353856260424,0.42399248539615797
1.2932330827067668,0.1255490716103295,0.4060573769072862
1.2982456140350878,0.12480966734952159,0.38693167152744784
1.3032581453634084,0.12406547062785106,0.3668586668931431
1.3082706766917294,0.12331662463162231,0.34608351818076205
1.31328320802005,0.12256327086449223,0.32484836096388897
1.318295739348371,0.12180554912772329,0.30338777160663066
1.3233082706766917,0.12104359750192843,0.2819246783723265
1.3283208020050126,0.12027755233026048,0.2606668144816468
1.3333333333333333,0.1195075482029827,0.23980378022185267
1.3383458646616542,0.11873371794339559,0.21950475607647743
1.3433583959899749,0.11795619259504649,0.19991688386910605
1.3483709273182958,0.1171751014102102,0.18116430916388349
1.3533834586466165,0.116390571839564,0.16334785656815187
1.3583959899749374,0.11560272952303928,0.14654529089095197
1.363408521303258,0.11481169828178645,0.13081210187531087
1.368421052631579,0.11401760011124067,0.11618273877886072
1.3734335839598997,0.11322055517521723,0.10267221355197792
1.3784461152882206,0.11242068180102906,0.0902779876827722
1.3834586466165413,0.11161809647556108,0.07898205769758103
1.3884711779448622,0.1108129138422984,0.06875315743432456
1.3934837092731829,0.11000524669923693,0.05954900104727763
1.3984962406015038,0.10919520599768075,0.0513184986887845
